artist,track,track_id,count,imgUrl,album,album_id,artist_id,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres
13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],3rQAnI7nIAXNFcK4jYIAc7,5,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,2afQ7u8n1CzNBAHjl6OQCG,7xYxgSJaIf7yOFLmknYX38,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,Album,2010,You're Gonna Miss Me (2008 Remastered Original Mono LP Version) (02:26)/Roller Coaster (2008 Remastered Original Mono LP Version) (05:01)/Splash 1 (2008 Remastered Original Mono LP Version) (03:49)/Reverberation (Doubt) [2008 Remastered Original Mono LP Version] (02:43)/Don't Fall Down (2008 Remastered Original Mono LP Version) (02:58)/Fire Engine (2008 Remastered Original Mono LP Version) (03:19)/Through the Rhythm (2008 Remastered Original Mono LP Version) (03:07)/You Don't Know (2008 Remastered Original Mono LP Version) (02:56)/Kingdom of Heaven (Is Within You) [2008 Remastered Original Mono LP Version] (03:05)/Monkey Island (2008 Remastered Original Mono LP Version) (02:37)/Tried to Hide (Mono LP Version) (02:46)/Tried to Hide (Alternate Version) [2008 Walt Andrus Stereo Re-Master] (02:46)/Fire Engine (Original Stereo Desk Mix) (03:21)/Monkey Island (Original Stereo Desk Mix) (02:44)/Roller Coaster (Original Stereo Desk Mix) (05:04)/Through the Rhythm (Original Stereo Desk Mix) (03:03)/Tried to Hide (Original Stereo Desk Mix) (02:52)/You Don't Know (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:54)/Through the Rhythm (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:22)/Monkey Island (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:53)/Roller Coaster (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (05:02)/Fire Engine (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:35)/Reverberation (Doubt) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (02:51)/You're Gonna Miss Me (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:28)/Splash 1 (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:53)/Don't Fall Down (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:17)/Kingdom of Heaven (Is Within You) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (03:08),https://i.scdn.co/image/ab67616d00001e02e10e8e43d73c0ca58aea14ce,198.0,Acid Rock/Protopunk/Psychedelic Rock
13th Floor Elevators,Slip Inside This House - Mono LP Version,75M1vS0AvZtLXbKLBllbvn,5,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc,Easter Everywhere,5RQNjPQbqY82MBTwaQp3ik,7xYxgSJaIf7yOFLmknYX38,Easter Everywhere,Album,2010,Slip Inside This House - Mono LP Version (07:51)/Slide Machine - Mono LP Version (03:36)/She Lives (In a Time of Her Own) - Mono LP Version (02:52)/Nobody to Love - Mono LP Version (02:53)/(It's All over Now) Baby Blue - Mono LP Version (05:05)/Earthquake - Mono LP Version (04:40)/Dust - Mono LP Version (03:53)/(I've Got) Levitation - Mono LP Version (02:36)/I Had to Tell You - Mono LP Version (02:22)/Postures (Leave Your Body Behind) - Mono LP Version (06:17)/Slip Inside This House - Stereo LP Version (08:02)/Slide Machine - Stereo LP Version (03:38)/She Lives (In a Time of Her Own) - Stereo LP Version (02:55)/Nobody to Love - Stereo LP Version (02:57)/(It's All over Now) Baby Blue - Stereo LP Version (05:15)/Earthquake - Stereo LP Version (04:47)/Dust - Stereo LP Version (03:55)/(I've Got) Levitation - Stereo LP Version (02:40)/I Had to Tell You - Stereo LP Version (02:26)/Postures (Leave Your Body Behind) - Stereo LP Version (06:29)/Fire in My Bones - Stereo Remix (02:04),https://i.scdn.co/image/ab67616d00001e020b86645a93fbe6593c4138dc,0.0,Acid Rock/Protopunk/Psychedelic Rock
13th Floor Elevators,Slip Inside This House - Stereo LP Version,4GVRHAwABAV0v63YX9Go0p,5,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc,Easter Everywhere,5RQNjPQbqY82MBTwaQp3ik,7xYxgSJaIf7yOFLmknYX38,Easter Everywhere,Album,2010,Slip Inside This House - Mono LP Version (07:51)/Slide Machine - Mono LP Version (03:36)/She Lives (In a Time of Her Own) - Mono LP Version (02:52)/Nobody to Love - Mono LP Version (02:53)/(It's All over Now) Baby Blue - Mono LP Version (05:05)/Earthquake - Mono LP Version (04:40)/Dust - Mono LP Version (03:53)/(I've Got) Levitation - Mono LP Version (02:36)/I Had to Tell You - Mono LP Version (02:22)/Postures (Leave Your Body Behind) - Mono LP Version (06:17)/Slip Inside This House - Stereo LP Version (08:02)/Slide Machine - Stereo LP Version (03:38)/She Lives (In a Time of Her Own) - Stereo LP Version (02:55)/Nobody to Love - Stereo LP Version (02:57)/(It's All over Now) Baby Blue - Stereo LP Version (05:15)/Earthquake - Stereo LP Version (04:47)/Dust - Stereo LP Version (03:55)/(I've Got) Levitation - Stereo LP Version (02:40)/I Had to Tell You - Stereo LP Version (02:26)/Postures (Leave Your Body Behind) - Stereo LP Version (06:29)/Fire in My Bones - Stereo Remix (02:04),https://i.scdn.co/image/ab67616d00001e020b86645a93fbe6593c4138dc,465.0,Acid Rock/Protopunk/Psychedelic Rock
13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),2WazJsXu1aDQKR88CMt41T,5,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,2afQ7u8n1CzNBAHjl6OQCG,7xYxgSJaIf7yOFLmknYX38,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,Album,2010,You're Gonna Miss Me (2008 Remastered Original Mono LP Version) (02:26)/Roller Coaster (2008 Remastered Original Mono LP Version) (05:01)/Splash 1 (2008 Remastered Original Mono LP Version) (03:49)/Reverberation (Doubt) [2008 Remastered Original Mono LP Version] (02:43)/Don't Fall Down (2008 Remastered Original Mono LP Version) (02:58)/Fire Engine (2008 Remastered Original Mono LP Version) (03:19)/Through the Rhythm (2008 Remastered Original Mono LP Version) (03:07)/You Don't Know (2008 Remastered Original Mono LP Version) (02:56)/Kingdom of Heaven (Is Within You) [2008 Remastered Original Mono LP Version] (03:05)/Monkey Island (2008 Remastered Original Mono LP Version) (02:37)/Tried to Hide (Mono LP Version) (02:46)/Tried to Hide (Alternate Version) [2008 Walt Andrus Stereo Re-Master] (02:46)/Fire Engine (Original Stereo Desk Mix) (03:21)/Monkey Island (Original Stereo Desk Mix) (02:44)/Roller Coaster (Original Stereo Desk Mix) (05:04)/Through the Rhythm (Original Stereo Desk Mix) (03:03)/Tried to Hide (Original Stereo Desk Mix) (02:52)/You Don't Know (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:54)/Through the Rhythm (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:22)/Monkey Island (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:53)/Roller Coaster (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (05:02)/Fire Engine (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:35)/Reverberation (Doubt) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (02:51)/You're Gonna Miss Me (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:28)/Splash 1 (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:53)/Don't Fall Down (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:17)/Kingdom of Heaven (Is Within You) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (03:08),https://i.scdn.co/image/ab67616d00001e02e10e8e43d73c0ca58aea14ce,401.0,Acid Rock/Protopunk/Psychedelic Rock
13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),34miSNKQ0xN7EG8zzzaFzI,5,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,2afQ7u8n1CzNBAHjl6OQCG,7xYxgSJaIf7yOFLmknYX38,The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,Album,2010,You're Gonna Miss Me (2008 Remastered Original Mono LP Version) (02:26)/Roller Coaster (2008 Remastered Original Mono LP Version) (05:01)/Splash 1 (2008 Remastered Original Mono LP Version) (03:49)/Reverberation (Doubt) [2008 Remastered Original Mono LP Version] (02:43)/Don't Fall Down (2008 Remastered Original Mono LP Version) (02:58)/Fire Engine (2008 Remastered Original Mono LP Version) (03:19)/Through the Rhythm (2008 Remastered Original Mono LP Version) (03:07)/You Don't Know (2008 Remastered Original Mono LP Version) (02:56)/Kingdom of Heaven (Is Within You) [2008 Remastered Original Mono LP Version] (03:05)/Monkey Island (2008 Remastered Original Mono LP Version) (02:37)/Tried to Hide (Mono LP Version) (02:46)/Tried to Hide (Alternate Version) [2008 Walt Andrus Stereo Re-Master] (02:46)/Fire Engine (Original Stereo Desk Mix) (03:21)/Monkey Island (Original Stereo Desk Mix) (02:44)/Roller Coaster (Original Stereo Desk Mix) (05:04)/Through the Rhythm (Original Stereo Desk Mix) (03:03)/Tried to Hide (Original Stereo Desk Mix) (02:52)/You Don't Know (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:54)/Through the Rhythm (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:22)/Monkey Island (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:53)/Roller Coaster (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (05:02)/Fire Engine (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:35)/Reverberation (Doubt) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (02:51)/You're Gonna Miss Me (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (02:28)/Splash 1 (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:53)/Don't Fall Down (Alternate Version - 2008 Walt Andrus Stereo Re-Master) (03:17)/Kingdom of Heaven (Is Within You) [Alternate Version - 2008 Walt Andrus Stereo Re-Master] (03:08),https://i.scdn.co/image/ab67616d00001e02e10e8e43d73c0ca58aea14ce,0.0,Acid Rock/Protopunk/Psychedelic Rock
35007,0618,2AcKnehihCFvnzXtr89qxZ,8,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9,Phase V,2MtlzWmDz3ArhZIkV97MFa,09kNJ3LqHcfQZO5qixfmft,Phase V,Album,2005-10-28,2009 (10:02)/2332 (06:00)/0618 (04:13)/4405 (09:42)/2225 (02:13)/6174 (08:31),https://i.scdn.co/image/ab67616d00001e02524877800d481cc2648ff1b9,26.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,2225,58xdZzSTNgap8a7CEckA9b,8,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9,Phase V,2MtlzWmDz3ArhZIkV97MFa,09kNJ3LqHcfQZO5qixfmft,Phase V,Album,2005-10-28,2009 (10:02)/2332 (06:00)/0618 (04:13)/4405 (09:42)/2225 (02:13)/6174 (08:31),https://i.scdn.co/image/ab67616d00001e02524877800d481cc2648ff1b9,52.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,Evaporate,3KmM9GEunX8IGyup6rne2z,8,https://i.scdn.co/image/ab67616d00004851192985134fff2113c333dc82,Liquid,2fVeY5ePxT4SQDvL18Sfye,09kNJ3LqHcfQZO5qixfmft,Liquid,Album,2002-05-27,Tsunami (11:06)/Crystalline (07:50)/Evaporate (05:53)/Voyage Automatique (13:24),https://i.scdn.co/image/ab67616d00001e02192985134fff2113c333dc82,36.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,Herd,534muzSD9kzdBx88meLIIn,8,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf,35007,7kO5LnQ7ORPzvmRC1y3cbm,09kNJ3LqHcfQZO5qixfmft,35007,Album,1997-10-13,Herd (05:44)/Soulmachine (04:00)/Short Sharp Left (05:27)/Undo (07:35)/Big Bore (04:19)/Vein (04:51)/66 (05:15)/Powertruth (06:14)/Locker (10:37)/Zero 21 (04:43),https://i.scdn.co/image/ab67616d00001e0203fda5292eb982ee298c6bdf,0.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,Soulmachine,2JITkpLYlbmPy8mxmtQ1IV,8,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf,35007,7kO5LnQ7ORPzvmRC1y3cbm,09kNJ3LqHcfQZO5qixfmft,35007,Album,1997-10-13,Herd (05:44)/Soulmachine (04:00)/Short Sharp Left (05:27)/Undo (07:35)/Big Bore (04:19)/Vein (04:51)/66 (05:15)/Powertruth (06:14)/Locker (10:37)/Zero 21 (04:43),https://i.scdn.co/image/ab67616d00001e0203fda5292eb982ee298c6bdf,13.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,The Elephant Song,24ENYWfpbnIOGKDW11pXCJ,8,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612,Especially for You,341icYyO50W0ImXNyo3fdw,09kNJ3LqHcfQZO5qixfmft,Especially for You,Album,2008-04-04,Slide (04:26)/Water (05:54)/Zandbank (05:32)/The Elephant Song (04:54)/Suave (06:54)/Cosmic Messanger (06:45)/Basiculo Ad Cunnum (05:04)/U:MU:M'NU (06:52),https://i.scdn.co/image/ab67616d00001e0234b6aec2726eb1b5fd61c612,45.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,Vein,5HOyIyLZYjVIM34gH5hNVO,8,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf,35007,7kO5LnQ7ORPzvmRC1y3cbm,09kNJ3LqHcfQZO5qixfmft,35007,Album,1997-10-13,Herd (05:44)/Soulmachine (04:00)/Short Sharp Left (05:27)/Undo (07:35)/Big Bore (04:19)/Vein (04:51)/66 (05:15)/Powertruth (06:14)/Locker (10:37)/Zero 21 (04:43),https://i.scdn.co/image/ab67616d00001e0203fda5292eb982ee298c6bdf,88.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
35007,Water,7vjaYUpr3xCbOMrJHTX6MF,8,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612,Especially for You,341icYyO50W0ImXNyo3fdw,09kNJ3LqHcfQZO5qixfmft,Especially for You,Album,2008-04-04,Slide (04:26)/Water (05:54)/Zandbank (05:32)/The Elephant Song (04:54)/Suave (06:54)/Cosmic Messanger (06:45)/Basiculo Ad Cunnum (05:04)/U:MU:M'NU (06:52),https://i.scdn.co/image/ab67616d00001e0234b6aec2726eb1b5fd61c612,14.0,Dutch Stoner Rock/Instrumental Stoner Rock/Psychedelic Space Rock/Space Rock
Abderraouf Ouertani,Conte d'un luth amoureux,0ZsnBdxkplFg588nv3eoaw,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,182.0,Oud
Abderraouf Ouertani,Conte d'un luth désespéré,7gyX9DPjwCsa86CQstx23H,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,92.0,Oud
Abderraouf Ouertani,"D'un crépuscule, l'autre",4XOYQUsG8n48Q7HoTKahOX,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,0.0,Oud
Abderraouf Ouertani,De Tunis à Kélibia,7cxTlBGiHRMFI85SUdcPLH,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,65.0,Oud
Abderraouf Ouertani,"La médina perdue, Tunis",1DIVnH0sYyavbqgCimd9aj,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,33.0,Oud
Abderraouf Ouertani,"La médina retrouvée, le Kef",0B6q5qTiHIyGsBoonXMr49,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,250.0,Oud
Abderraouf Ouertani,Lamentations bipolaires,3j0obpF6E4yxU6fUXoQ0xu,18,https://i.scdn.co/image/ab67616d0000485105ff2d7904ee630f20a92e5e,Duo Deux Rives,2VIiaWaN6unj1ORZ630O7N,7fLHLIzQkhIOqrotQlR1rA,Duo Deux Rives,Album,2018-04-13,"L'incroyable Ghriba du Kef (04:02)/Lamentations bipolaires (05:35)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 1er mouvement (01:31)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 2e mouvement (03:33)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 3e mouvement (02:16)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 4e mouvement (03:14)/Trois nuances de vert de ses yeux (03:35)/Le monde sans T. (07:35)/La clé de Notre-Dame de Malakoff (04:52)/Le cœur de Mathilde (01:55)/Vague souvenir (02:31)",https://i.scdn.co/image/ab67616d00001e0205ff2d7904ee630f20a92e5e,35.0,Oud
Abderraouf Ouertani,Les yeux de T.,6yYi3vLy85Jw85VcIhyVVd,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,159.0,Oud
Abderraouf Ouertani,Lettre à Oumayma no.1,2bvo9b9tmsbkQoOyt7U0d1,18,https://i.scdn.co/image/ab67616d00004851eaa6b0af736037a9bc6e5d95,Contes outre-méditerranéens,5srxiVLT8OdxR6hlzUP0mG,7fLHLIzQkhIOqrotQlR1rA,Contes outre-méditerranéens,Album,2015-11-03,"Le départ (05:35)/Lettre à Oumayma no.1 (03:56)/Lettre à Oumayma no. 2 (07:27)/Lettre à Oumayma no.3 (05:18)/Lettres de T. (03:08)/Les larmes de Didier B. (07:38)/De Pékin à Shanghai (07:02)/Malakoff, été 2010 (06:15)/Dernier crépuscule à Pékin (03:26)/Le retour (08:19)",https://i.scdn.co/image/ab67616d00001e02eaa6b0af736037a9bc6e5d95,18.0,Oud
Abderraouf Ouertani,Lettre à Oumayma no.3,6ne57TGAJHoiYLgJ0jeTAb,18,https://i.scdn.co/image/ab67616d00004851eaa6b0af736037a9bc6e5d95,Contes outre-méditerranéens,5srxiVLT8OdxR6hlzUP0mG,7fLHLIzQkhIOqrotQlR1rA,Contes outre-méditerranéens,Album,2015-11-03,"Le départ (05:35)/Lettre à Oumayma no.1 (03:56)/Lettre à Oumayma no. 2 (07:27)/Lettre à Oumayma no.3 (05:18)/Lettres de T. (03:08)/Les larmes de Didier B. (07:38)/De Pékin à Shanghai (07:02)/Malakoff, été 2010 (06:15)/Dernier crépuscule à Pékin (03:26)/Le retour (08:19)",https://i.scdn.co/image/ab67616d00001e02eaa6b0af736037a9bc6e5d95,79.0,Oud
Abderraouf Ouertani,Lettres de T.,6UpGvdTKlEjq7hDx7rBC27,18,https://i.scdn.co/image/ab67616d00004851eaa6b0af736037a9bc6e5d95,Contes outre-méditerranéens,5srxiVLT8OdxR6hlzUP0mG,7fLHLIzQkhIOqrotQlR1rA,Contes outre-méditerranéens,Album,2015-11-03,"Le départ (05:35)/Lettre à Oumayma no.1 (03:56)/Lettre à Oumayma no. 2 (07:27)/Lettre à Oumayma no.3 (05:18)/Lettres de T. (03:08)/Les larmes de Didier B. (07:38)/De Pékin à Shanghai (07:02)/Malakoff, été 2010 (06:15)/Dernier crépuscule à Pékin (03:26)/Le retour (08:19)",https://i.scdn.co/image/ab67616d00001e02eaa6b0af736037a9bc6e5d95,109.0,Oud
Abderraouf Ouertani,Mon père,5ePPLtJGo4nSQ4doR5So2K,18,https://i.scdn.co/image/ab67616d00004851cb1fce4bdb054bfc02ddcaad,Contes d'un misérable luth,0cCrNAvXZNoi4EDGPZgE5n,7fLHLIzQkhIOqrotQlR1rA,Contes d'un misérable luth,Album,2013-07-15,"D'un crépuscule, l'autre (06:49)/La médina perdue, Tunis (07:25)/De Tunis à Kélibia (03:19)/Conte d'un luth désespéré (08:02)/Le chevalier de Ouertane (07:07)/Les yeux de T. (02:53)/Conte d'un luth amoureux (02:44)/Mon père (01:46)/Le pardon (04:34)/La médina retrouvée, le Kef (03:19)",https://i.scdn.co/image/ab67616d00001e02cb1fce4bdb054bfc02ddcaad,215.0,Oud
Abderraouf Ouertani,"Suite No. 3 pour oud et orgue ""la pénultième femme"": 1er mouvement",4zFIacX0qFZPBZzpwSloE0,18,https://i.scdn.co/image/ab67616d0000485105ff2d7904ee630f20a92e5e,Duo Deux Rives,2VIiaWaN6unj1ORZ630O7N,7fLHLIzQkhIOqrotQlR1rA,Duo Deux Rives,Album,2018-04-13,"L'incroyable Ghriba du Kef (04:02)/Lamentations bipolaires (05:35)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 1er mouvement (01:31)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 2e mouvement (03:33)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 3e mouvement (02:16)/Suite No. 3 pour oud et orgue ""la pénultième femme"": 4e mouvement (03:14)/Trois nuances de vert de ses yeux (03:35)/Le monde sans T. (07:35)/La clé de Notre-Dame de Malakoff (04:52)/Le cœur de Mathilde (01:55)/Vague souvenir (02:31)",https://i.scdn.co/image/ab67616d00001e0205ff2d7904ee630f20a92e5e,67.0,Oud
Abderraouf Ouertani,"Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 1",16hWVdx6iX0J4MDxdKaILx,18,https://i.scdn.co/image/ab67616d00004851255ff6650876844becd3d457,Contes d'un retour au pays imaginaire,7aE48237mFWFVnWcz0RXXs,7fLHLIzQkhIOqrotQlR1rA,Contes d'un retour au pays imaginaire,Album,2021-11-13,"Suite no. 1 pour oud et piano ""Devenir-révolutionnaire"": Mouvement no. 1 (08:29)/Suite no. 1 pour oud et piano ""Devenir-révolutionnaire"": Mouvement no. 2 (05:20)/Suite no. 1 pour oud et piano ""Devenir-révolutionnaire"": Mouvement no. 3 (03:54)/Suite no. 1 pour oud et piano ""Devenir-révolutionnaire"": Mouvement no. 4 (02:21)/Abderraouf, mon père et la mer (09:08)/Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 1 (02:00)/Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 2 (01:18)/Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 3 (03:17)/Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 4 (00:59)/Suite no. 2 pour oud et piano ""Déterritorialisation"": Mouvement no. 5 (06:45)/Chaker, coincé entre bureaucratie et technocratie (05:52)/Un père et une fille (03:59)/Rêve d'enfant (08:23)/Sketches of T. (01:45)/Il est temps de t'oublier (07:26)",https://i.scdn.co/image/ab67616d00001e02255ff6650876844becd3d457,363.0,Oud
